scene,arm,accuracy,dt_s,dt_outer_s,n_worlds,t_s,wall_ms,iters,exhausted_frac
hard-clutter,icf-adaptive,0.01,,0.1,1,2.5,42.53318812698126,9,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.6,11.681887088343501,4,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.7,12.669458985328674,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.8000000000000003,6.358100101351738,2,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.9000000000000004,3.3112349919974804,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.0,3.333378117531538,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.1,3.6219439934939146,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.2,3.347981022670865,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.3000000000000003,2.774624153971672,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.4000000000000004,2.770557999610901,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.5,3.335090819746256,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.6,3.898551920428872,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.7,4.489706130698323,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.8000000000000003,4.762417869642377,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,3.9000000000000004,4.487563157454133,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.0,5.0385750364512205,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.1000000000000005,4.471118096262217,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.2,2.795265056192875,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.3,4.458769923076034,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.4,3.6197409499436617,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.5,4.185786005109549,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.6000000000000005,3.909309161826968,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.7,4.7480768989771605,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.800000000000001,3.956009168177843,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,4.9,3.980605863034725,1,0.0
