arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
mujoco,0.002,,100.0,6.324555320336759,100000.0,0.3,1,False,0.1901134754659544,0.0,0.216167151927948,0.00013643503189086914,2.6891236305236816,0.009289786219596863,0.09384038299322128,0.02069932594895363,2.729098081588745,0.041666666666666664,0.007876520976424217,0.10088855773210526,0.2071811556816101,0.27999999999999997
mujoco,0.001,,100.0,6.324555320336759,100000.0,0.3,1,False,0.2881022886340988,0.0,0.053821008652448654,2.165883779525757e-05,6.496693134307861,0.010129094123840332,0.05682898685336113,0.013598810881376266,0.8826113939285278,0.0,0.008857273496687412,0.10172531753778458,0.2672547399997711,0.27999999999999997
mujoco-adaptive,,0.1,100.0,6.324555320336759,100000.0,0.3,1,False,0.15243842828505,0.0,1.4004100561141968,0.0010064244270324707,3.0473062992095947,0.009443342685699463,0.10466120392084122,0.0207049660384655,2.8927066326141357,0.05,0.011982782743871212,0.09997297078371048,0.2082929164171219,0.27999999999999997
mujoco-adaptive,,0.01,100.0,6.324555320336759,100000.0,0.3,1,False,0.15342922511928042,0.0,1.2677903175354004,0.00044462457299232483,3.493734836578369,0.009709715843200684,0.08275368809700012,0.020699117332696915,2.148573875427246,0.0,0.015436623245477676,0.1014801412820816,0.2246401309967041,0.27999999999999997
mujoco-adaptive,,0.001,100.0,6.324555320336759,100000.0,0.3,1,False,0.17642331036642708,0.0,1.1438528299331665,0.0010846778750419617,4.385191440582275,0.011072546243667603,0.07011035084724426,0.020677533000707626,1.827197551727295,0.0,0.00840474758297205,0.10278099775314331,0.23017877340316772,0.27999999999999997
mujoco-adaptive,,0.0001,100.0,6.324555320336759,100000.0,0.3,1,False,0.3325302944647084,0.0,0.4093034863471985,2.7295202016830444e-05,0.11639813333749771,0.00022513419389724731,0.07119610905647278,0.007600069046020508,0.8595719337463379,0.0,0.008334441110491753,0.10048852860927582,0.1907859444618225,0.27999999999999997
icf,0.01,,1000.0,20.0,100000.0,0.3,1,False,0.05729074967254339,0.0,0.9995762705802917,2.506747841835022e-05,0.5958687663078308,0.00014190003275871277,2.5789572646317538e-06,-2.4314969778060913e-05,0.0030836062505841255,0.0,0.00011071167682530358,0.011291720904409885,0.27810564637184143,0.27999999999999997
icf,0.005,,1000.0,20.0,100000.0,0.3,1,False,0.07228652617476623,0.0,0.9998491406440735,2.6714056730270386e-05,0.5411205291748047,0.00010329112410545349,4.158765477768611e-06,-2.430751919746399e-05,0.005637890659272671,0.0,0.0009737738291732967,0.010664907284080982,0.27859339118003845,0.27999999999999997
icf,0.002,,1000.0,20.0,100000.0,0.3,1,False,0.11819847522239234,0.0,1.0000654458999634,2.539902925491333e-05,0.5112738013267517,0.00021369755268096924,5.908894763706485e-06,-2.4475157260894775e-05,0.005537020042538643,0.0,0.002176585141569376,0.010262399911880493,0.2789096534252167,0.27999999999999997
icf,0.001,,1000.0,20.0,100000.0,0.3,1,False,0.1899967007017855,0.0,0.9996165633201599,2.4609267711639404e-05,0.49854937195777893,0.0002544224262237549,8.824176620692015e-05,-2.3499131202697754e-05,0.005945662502199411,0.0,0.0030709102284163237,0.01015124935656786,0.27902695536613464,0.27999999999999997
icf-adaptive,,0.1,1000.0,20.0,100000.0,0.3,1,False,0.10134340858022715,0.0,0.9996527433395386,2.5622546672821045e-05,0.5406327247619629,0.00010193139314651489,6.615200163651025e-06,-2.4180859327316284e-05,0.005691126454621553,0.0,0.0009870067005977035,0.010665001347661018,0.278592586517334,0.27999999999999997
icf-adaptive,,0.01,1000.0,20.0,100000.0,0.3,1,False,0.10784334206054437,0.0,0.9996505975723267,2.5622546672821045e-05,0.5405290722846985,0.00010193139314651489,6.612328434130177e-06,-2.4180859327316284e-05,0.005690628197044134,0.0,0.0009861169382929802,0.010664600878953934,0.27859267592430115,0.27999999999999997
icf-adaptive,,0.001,1000.0,20.0,100000.0,0.3,1,False,0.10598400415017688,0.0,0.9996542930603027,2.5622546672821045e-05,0.5405495762825012,0.00010193139314651489,6.606058377656154e-06,-2.4180859327316284e-05,0.0056899357587099075,0.0,0.0009859328856691718,0.01066457387059927,0.2785925269126892,0.27999999999999997
icf-adaptive,,0.0001,1000.0,20.0,100000.0,0.3,1,False,0.10660282175602584,0.0,1.0003095865249634,2.5622546672821045e-05,0.5513249039649963,0.0002110116183757782,9.456758562009782e-06,-2.4475157260894775e-05,0.00717132305726409,0.0,0.0009840762941166759,0.010655466467142105,0.2785865068435669,0.27999999999999997
mujoco,0.01,,1000.0,20.0,100000.0,0.3,1,False,0.10495499346469497,0.0,6.278388977050781,0.0031820274889469147,7.6086955070495605,0.004078211262822151,0.14579342305660248,0.00637991726398468,1.886078119277954,0.0,0.06548584997653961,0.012116417288780212,0.27724674344062805,0.27999999999999997
