boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
97,11,979,4.479149e-04,5.352560e-03,1.449195e-02,0.000000e+00,0.000000e+00,194,2.801418e-06,0,0,0
98,14,993,9.046867e-05,5.419806e-03,1.522541e-02,0.000000e+00,0.000000e+00,180,2.548099e-06,0,0,0
99,13,1006,2.037268e-05,5.256965e-03,1.099389e-02,0.000000e+00,0.000000e+00,197,4.376676e-04,0,0,0
100,13,1019,1.446716e-04,5.533723e-03,1.374222e-02,0.000000e+00,0.000000e+00,184,1.971573e-04,0,0,0
101,11,1030,1.376914e-04,5.121317e-03,1.032905e-02,0.000000e+00,0.000000e+00,225,7.644296e-05,0,0,0
102,12,1042,1.133094e-04,5.460826e-03,1.436301e-02,0.000000e+00,0.000000e+00,169,4.300177e-04,0,0,0
103,15,1057,7.495284e-05,5.342533e-03,1.089000e-02,0.000000e+00,0.000000e+00,196,1.309551e-04,0,0,0
104,15,1072,3.392575e-04,5.591364e-03,1.243779e-02,0.000000e+00,0.000000e+00,183,4.437595e-04,0,0,0
105,11,1083,4.087575e-05,5.412055e-03,1.108779e-02,0.000000e+00,0.000000e+00,186,5.241050e-04,0,0,0
106,10,1093,1.966115e-04,5.638012e-03,1.317690e-02,0.000000e+00,0.000000e+00,159,7.374212e-05,0,0,0
107,18,1111,3.516674e-05,5.432191e-03,1.373709e-02,0.000000e+00,0.000000e+00,212,8.663535e-05,0,0,0
108,15,1126,1.991028e-04,5.795565e-03,1.378044e-02,0.000000e+00,0.000000e+00,171,1.407191e-04,0,0,0
109,11,1137,5.926471e-05,5.647676e-03,1.296901e-02,0.000000e+00,0.000000e+00,194,5.612113e-04,0,0,0
110,14,1151,8.709729e-05,5.588399e-03,1.461937e-02,0.000000e+00,0.000000e+00,201,1.359284e-04,0,0,0
111,14,1165,1.415145e-04,5.528189e-03,1.324410e-02,0.000000e+00,0.000000e+00,190,5.719578e-05,0,0,0
112,14,1179,1.693144e-05,5.577691e-03,1.380568e-02,0.000000e+00,0.000000e+00,160,1.056064e-04,0,0,0
113,14,1193,5.308539e-07,5.571311e-03,1.166486e-02,0.000000e+00,0.000000e+00,184,3.386494e-04,0,1,0
114,12,1205,8.814037e-05,5.681445e-03,1.233693e-02,0.000000e+00,0.000000e+00,167,3.469726e-04,0,0,0
115,13,1218,2.568588e-05,5.601660e-03,1.342577e-02,0.000000e+00,0.000000e+00,204,1.241267e-04,0,0,0
116,11,1229,2.034940e-05,5.776843e-03,1.522390e-02,0.000000e+00,0.000000e+00,204,6.016344e-06,0,0,0
117,13,1242,1.018401e-04,5.565091e-03,1.151136e-02,0.000000e+00,0.000000e+00,203,1.187846e-04,0,0,0
118,15,1257,2.475642e-04,5.651698e-03,1.090087e-02,0.000000e+00,0.000000e+00,184,5.960464e-06,0,0,0
119,16,1273,3.738748e-04,5.637834e-03,1.385570e-02,0.000000e+00,0.000000e+00,196,5.030930e-04,0,0,0
120,12,1285,1.333747e-04,5.724080e-03,1.297835e-02,0.000000e+00,0.000000e+00,167,1.092255e-04,0,0,0
121,13,1298,7.376075e-06,5.407139e-03,1.278921e-02,0.000000e+00,0.000000e+00,214,1.150370e-05,0,0,0
122,12,1310,3.939494e-05,5.506041e-03,1.221895e-02,0.000000e+00,0.000000e+00,184,6.079674e-06,0,0,0
123,11,1321,1.160242e-04,5.424979e-03,1.059404e-02,0.000000e+00,0.000000e+00,193,2.625957e-04,0,0,0
124,14,1335,7.003546e-06,5.461529e-03,1.120193e-02,0.000000e+00,0.000000e+00,179,2.644509e-04,0,0,0
125,25,1360,1.035398e-04,5.437439e-03,1.040833e-02,0.000000e+00,0.000000e+00,187,2.115071e-04,0,0,0
126,11,1371,4.222617e-05,5.748934e-03,1.246952e-02,0.000000e+00,0.000000e+00,164,2.697110e-04,0,0,0
127,17,1388,5.442649e-05,5.679655e-03,1.184224e-02,0.000000e+00,0.000000e+00,180,5.208738e-04,0,0,0
128,16,1404,1.050066e-05,5.702935e-03,1.158910e-02,0.000000e+00,0.000000e+00,186,9.623766e-04,0,0,0
129,20,1424,3.986061e-05,5.515852e-03,1.263374e-02,0.000000e+00,0.000000e+00,200,2.675653e-04,0,0,0
130,14,1438,5.359296e-05,5.511627e-03,1.156184e-02,0.000000e+00,0.000000e+00,188,7.800385e-05,0,0,0
131,17,1455,1.898082e-04,5.269954e-03,1.308909e-02,0.000000e+00,0.000000e+00,203,7.450581e-07,0,0,0
132,10,1465,1.031905e-05,5.561278e-03,1.157006e-02,0.000000e+00,0.000000e+00,170,1.635551e-04,0,0,0
133,11,1476,5.530100e-04,5.640106e-03,1.486017e-02,0.000000e+00,0.000000e+00,178,1.435727e-05,0,0,0
134,13,1489,9.619631e-05,5.779932e-03,1.397130e-02,0.000000e+00,0.000000e+00,185,2.496764e-04,0,0,0
135,10,1499,1.526484e-04,5.498649e-03,1.089000e-02,0.000000e+00,0.000000e+00,188,1.364946e-05,0,0,0
136,10,1509,2.979347e-04,5.694470e-03,1.227638e-02,0.000000e+00,0.000000e+00,177,5.326942e-04,0,0,0
137,15,1524,2.535060e-05,5.601998e-03,1.206421e-02,0.000000e+00,0.000000e+00,194,1.257062e-04,0,0,0
138,15,1539,7.923692e-05,5.897524e-03,1.294341e-02,0.000000e+00,0.000000e+00,175,1.117736e-04,0,0,0
139,13,1552,1.851842e-04,5.524640e-03,1.209541e-02,0.000000e+00,0.000000e+00,213,1.507811e-06,0,0,0
140,11,1563,1.568347e-05,5.574531e-03,1.441659e-02,0.000000e+00,0.000000e+00,181,6.270111e-04,0,0,0
141,11,1574,5.054288e-05,5.685329e-03,1.162226e-02,0.000000e+00,0.000000e+00,195,3.172085e-06,0,0,0
142,11,1585,7.157214e-06,5.269917e-03,1.210372e-02,0.000000e+00,0.000000e+00,196,7.171184e-06,0,0,0
143,11,1596,7.011462e-05,5.412451e-03,1.149662e-02,0.000000e+00,0.000000e+00,194,7.187575e-05,0,0,0
