boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
138,19,2030,5.448237e-07,5.311827e-03,1.435582e-02,0.000000e+00,0.000000e+00
139,17,2047,1.999550e-05,5.207336e-03,1.294702e-02,0.000000e+00,0.000000e+00
140,17,2064,2.253335e-05,5.398030e-03,1.631668e-02,0.000000e+00,0.000000e+00
141,18,2082,4.060566e-06,5.244446e-03,1.537557e-02,0.000000e+00,0.000000e+00
142,16,2098,3.217719e-06,5.510399e-03,1.821472e-02,0.000000e+00,0.000000e+00
143,20,2118,1.766719e-05,5.290700e-03,1.556746e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 1045385, 'floor_samples': 15, 'floor_fraction': 1.4348780592795955e-05, 'saturation_depth': 3.725290298461914e-08, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,17,2135,2.793968e-07,5.343385e-03,1.814398e-02,0.000000e+00,0.000000e+00
145,15,2150,2.427027e-05,5.205170e-03,1.817041e-02,0.000000e+00,0.000000e+00
146,15,2165,1.696870e-05,5.365538e-03,1.817925e-02,0.000000e+00,0.000000e+00
147,17,2182,1.701526e-05,5.221565e-03,1.820308e-02,0.000000e+00,0.000000e+00
148,17,2199,2.570916e-05,5.456243e-03,1.533340e-02,0.000000e+00,0.000000e+00
149,19,2218,1.923181e-05,5.242873e-03,1.524154e-02,0.000000e+00,0.000000e+00
150,15,2233,1.127366e-05,5.316342e-03,1.797495e-02,0.000000e+00,0.000000e+00
151,16,2249,6.426126e-07,5.207299e-03,1.458088e-02,0.000000e+00,0.000000e+00
152,14,2263,5.592592e-06,5.424308e-03,1.432125e-02,0.000000e+00,0.000000e+00
153,25,2288,4.297122e-05,5.246639e-03,1.407885e-02,0.000000e+00,0.000000e+00
154,29,2317,5.257316e-06,5.386607e-03,1.429095e-02,0.000000e+00,0.000000e+00
155,20,2337,1.127366e-05,5.248275e-03,1.566413e-02,0.000000e+00,0.000000e+00
156,21,2358,3.818423e-06,5.365063e-03,1.817925e-02,0.000000e+00,0.000000e+00
157,22,2380,5.597249e-06,5.175977e-03,1.453492e-02,0.000000e+00,0.000000e+00
158,14,2394,8.335337e-06,5.330181e-03,1.389609e-02,0.000000e+00,0.000000e+00
159,16,2410,1.742970e-05,5.206908e-03,1.276903e-02,0.000000e+00,0.000000e+00
160,16,2426,3.399327e-06,5.270927e-03,1.454113e-02,0.000000e+00,0.000000e+00
161,17,2443,3.065914e-05,5.158698e-03,1.438977e-02,0.000000e+00,0.000000e+00
162,15,2458,1.871958e-06,5.346914e-03,1.561995e-02,0.000000e+00,0.000000e+00
163,19,2477,1.211651e-05,5.216084e-03,1.322574e-02,0.000000e+00,0.000000e+00
164,29,2506,5.890615e-06,5.347207e-03,1.521760e-02,0.000000e+00,0.000000e+00
165,25,2531,8.614734e-07,5.293095e-03,1.361993e-02,0.000000e+00,0.000000e+00
166,17,2548,1.888257e-05,5.334959e-03,1.449946e-02,0.000000e+00,0.000000e+00
167,26,2574,3.161840e-05,5.150802e-03,1.427425e-02,0.000000e+00,0.000000e+00
168,16,2590,2.845190e-05,5.394917e-03,1.594405e-02,0.000000e+00,0.000000e+00
169,18,2608,4.107133e-06,5.240635e-03,1.585433e-02,0.000000e+00,0.000000e+00
170,17,2625,1.316890e-05,5.355197e-03,1.558228e-02,0.000000e+00,0.000000e+00
171,16,2641,9.187497e-06,5.172993e-03,1.563733e-02,0.000000e+00,0.000000e+00
172,17,2658,2.566259e-05,5.365540e-03,1.786696e-02,0.000000e+00,0.000000e+00
173,19,2677,5.913898e-07,5.165644e-03,1.422380e-02,0.000000e+00,0.000000e+00
174,15,2692,1.485460e-05,5.294359e-03,1.814398e-02,0.000000e+00,0.000000e+00
