boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
119,16,1293,1.167219e-03,5.193058e-03,1.000000e-02,0.000000e+00,0.000000e+00
120,11,1304,1.237705e-03,5.273634e-03,1.583899e-02,0.000000e+00,0.000000e+00
121,13,1317,1.364612e-03,5.220209e-03,1.190046e-02,0.000000e+00,0.000000e+00
122,14,1331,1.228670e-03,5.337528e-03,1.309051e-02,0.000000e+00,0.000000e+00
123,11,1342,1.707116e-03,5.279941e-03,1.424393e-02,0.000000e+00,0.000000e+00
124,13,1355,9.468053e-04,5.368734e-03,1.583952e-02,0.000000e+00,0.000000e+00
125,17,1372,1.017967e-03,5.209232e-03,1.315900e-02,0.000000e+00,0.000000e+00
126,13,1385,1.110683e-03,5.355381e-03,1.476214e-02,0.000000e+00,0.000000e+00
127,17,1402,8.937380e-04,5.113761e-03,1.275846e-02,0.000000e+00,0.000000e+00
128,18,1420,1.108696e-03,5.320332e-03,1.745194e-02,0.000000e+00,0.000000e+00
129,16,1436,8.291844e-04,5.074640e-03,1.000000e-02,0.000000e+00,0.000000e+00
130,13,1449,1.071661e-03,5.153465e-03,1.025061e-02,0.000000e+00,0.000000e+00
131,17,1466,7.542681e-04,5.002638e-03,1.000882e-02,0.000000e+00,0.000000e+00
132,13,1479,7.559159e-04,5.194095e-03,1.295669e-02,0.000000e+00,0.000000e+00
133,11,1490,1.196263e-03,5.202769e-03,1.000000e-02,0.000000e+00,0.000000e+00
134,18,1508,7.154420e-04,5.277525e-03,1.240994e-02,0.000000e+00,0.000000e+00
135,15,1523,6.307630e-04,5.257532e-03,1.061281e-02,0.000000e+00,0.000000e+00
136,18,1541,6.790780e-04,5.253169e-03,1.090906e-02,0.000000e+00,0.000000e+00
137,16,1557,7.927853e-04,5.230422e-03,1.171821e-02,0.000000e+00,0.000000e+00
138,10,1567,1.354348e-03,5.328079e-03,1.119959e-02,0.000000e+00,0.000000e+00
139,14,1581,6.752364e-04,5.265579e-03,1.231955e-02,0.000000e+00,0.000000e+00
140,13,1594,9.059357e-04,5.433380e-03,1.221894e-02,0.000000e+00,0.000000e+00
141,10,1604,1.429112e-03,5.269683e-03,1.209208e-02,0.000000e+00,0.000000e+00
142,15,1619,1.332616e-03,5.292995e-03,1.047962e-02,0.000000e+00,0.000000e+00
143,13,1632,1.193718e-03,5.030777e-03,1.000000e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 121600, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,17,1649,1.156841e-03,5.278589e-03,1.077873e-02,0.000000e+00,0.000000e+00
145,12,1661,1.185756e-03,5.249929e-03,1.000000e-02,0.000000e+00,0.000000e+00
146,15,1676,1.264821e-03,5.314848e-03,1.130319e-02,0.000000e+00,0.000000e+00
147,11,1687,1.219904e-03,5.184059e-03,1.329552e-02,0.000000e+00,0.000000e+00
148,18,1705,6.508075e-04,5.320054e-03,1.399742e-02,0.000000e+00,0.000000e+00
149,16,1721,1.120596e-03,5.285018e-03,1.000000e-02,0.000000e+00,0.000000e+00
