boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
1606,15,21039,1.050618e-03,5.294734e-03,1.158660e-02,0.000000e+00,0.000000e+00,202,3.454877e-05,0,0,0,241,18,1.266637e+03,64465
1607,11,21050,1.301770e-03,5.275855e-03,1.026749e-02,0.000000e+00,0.000000e+00,204,3.451802e-05,0,0,0,184,18,1.268211e+03,64720
1608,16,21066,1.060855e-03,5.372886e-03,1.212416e-02,0.000000e+00,0.000000e+00,205,4.612512e-04,0,0,0,75,18,1.269793e+03,65124
1609,14,21080,9.881853e-04,5.249600e-03,1.000000e-02,0.000000e+00,0.000000e+00,214,3.596864e-05,0,0,0,75,18,1.271371e+03,65723
1610,9,21089,1.258350e-03,5.434641e-03,1.356087e-02,0.000000e+00,0.000000e+00,196,4.186730e-04,0,0,0,35,18,1.272943e+03,65410
1611,12,21101,1.332156e-03,5.388159e-03,1.129333e-02,0.000000e+00,0.000000e+00,216,3.439507e-05,0,0,0,75,18,1.274532e+03,65209
1612,16,21117,9.098080e-04,5.364701e-03,1.389006e-02,0.000000e+00,0.000000e+00,202,4.912026e-05,0,0,0,220,18,1.276107e+03,65048
1613,26,21143,9.148884e-04,5.459807e-03,1.000000e-02,0.000000e+00,0.000000e+00,206,3.433398e-05,0,0,0,220,18,1.277689e+03,65040
1614,24,21167,5.226130e-04,5.357626e-03,1.179202e-02,0.000000e+00,0.000000e+00,203,1.227031e-04,0,0,0,220,18,1.279273e+03,64843
1615,13,21180,1.093415e-03,5.244488e-03,1.226102e-02,0.000000e+00,0.000000e+00,235,3.333721e-06,0,0,0,75,18,1.280865e+03,64913
1616,13,21193,8.145774e-04,5.308565e-03,1.468665e-02,0.000000e+00,0.000000e+00,217,2.219421e-04,0,0,0,16,18,1.282460e+03,65064
1617,16,21209,9.422038e-04,5.239837e-03,1.012531e-02,0.000000e+00,0.000000e+00,224,3.421164e-05,0,0,0,66,18,1.284047e+03,65719
1618,14,21223,9.717348e-04,5.286200e-03,1.089000e-02,0.000000e+00,0.000000e+00,204,5.782687e-05,0,0,0,38,18,1.285662e+03,65893
1619,16,21239,1.215526e-03,5.141146e-03,1.000000e-02,0.000000e+00,0.000000e+00,218,5.611537e-05,0,0,0,66,18,1.287224e+03,65810
1620,10,21249,1.420239e-03,5.263013e-03,1.021244e-02,0.000000e+00,0.000000e+00,193,2.426823e-04,0,0,0,94,18,1.288809e+03,65805
1621,17,21266,7.552017e-04,5.134675e-03,1.000000e-02,0.000000e+00,0.000000e+00,229,3.849274e-05,0,0,0,180,18,1.290403e+03,65963
1622,13,21279,8.609274e-04,5.354378e-03,1.266289e-02,0.000000e+00,0.000000e+00,202,7.324294e-04,0,0,0,162,18,1.291996e+03,66020
1623,14,21293,1.324339e-03,5.194704e-03,1.101412e-02,0.000000e+00,0.000000e+00,224,4.552998e-05,0,0,0,39,18,1.293588e+03,66443
1624,14,21307,1.080007e-03,5.177469e-03,1.132061e-02,0.000000e+00,0.000000e+00,233,3.399958e-05,0,0,0,86,18,1.295174e+03,66243
1625,17,21324,7.872440e-04,5.113458e-03,1.000000e-02,0.000000e+00,0.000000e+00,235,4.732514e-05,0,0,0,91,18,1.296777e+03,66821
1626,13,21337,1.326523e-03,5.326000e-03,1.139482e-02,0.000000e+00,0.000000e+00,193,3.393941e-05,0,0,0,208,18,1.298356e+03,67008
1627,12,21349,1.033577e-03,5.247575e-03,1.063217e-02,0.000000e+00,0.000000e+00,235,6.407965e-04,0,0,0,193,18,1.299976e+03,67139
1628,14,21363,1.078197e-03,5.410104e-03,1.089000e-02,0.000000e+00,0.000000e+00,212,2.186943e-04,0,0,0,193,18,1.301574e+03,66780
1629,13,21376,1.509283e-03,5.230321e-03,1.021280e-02,0.000000e+00,0.000000e+00,222,1.838522e-06,0,0,0,80,18,1.303162e+03,67400
1630,11,21387,1.339184e-03,5.240567e-03,1.000000e-02,0.000000e+00,0.000000e+00,216,3.381911e-05,0,0,0,52,18,1.304753e+03,67694
1631,12,21399,1.118753e-03,5.107525e-03,1.128614e-02,0.000000e+00,0.000000e+00,225,1.286142e-05,0,0,0,80,18,1.306362e+03,67979
1632,13,21412,1.037772e-03,5.280157e-03,1.173954e-02,0.000000e+00,0.000000e+00,202,2.144756e-04,0,0,0,6,18,1.307946e+03,67989
1633,12,21424,1.034589e-03,5.255026e-03,1.010982e-02,0.000000e+00,0.000000e+00,209,3.532408e-04,0,0,0,27,18,1.309564e+03,68415
1634,16,21440,1.064583e-03,5.131831e-03,1.113218e-02,0.000000e+00,0.000000e+00,232,7.277261e-05,0,0,0,168,18,1.311171e+03,68868
1635,14,21454,9.189902e-04,5.134406e-03,1.033423e-02,0.000000e+00,0.000000e+00,235,3.366963e-05,0,0,0,204,18,1.312766e+03,69756
1636,15,21469,9.324478e-04,5.128057e-03,1.276755e-02,0.000000e+00,0.000000e+00,248,3.363951e-05,0,0,0,193,18,1.314389e+03,69478
1637,20,21489,6.547322e-04,4.936967e-03,1.061798e-02,0.000000e+00,0.000000e+00,247,2.579167e-05,0,0,0,183,18,1.315969e+03,69846
1638,11,21500,1.275504e-03,5.097429e-03,1.370302e-02,0.000000e+00,0.000000e+00,221,3.358019e-05,0,0,0,111,18,1.317594e+03,69269
1639,18,21518,4.224174e-04,5.005536e-03,1.000000e-02,0.000000e+00,0.000000e+00,246,3.355050e-05,0,0,0,168,18,1.319203e+03,68717
1640,15,21533,6.217003e-04,5.308713e-03,1.249170e-02,0.000000e+00,0.000000e+00,225,3.352084e-05,0,0,0,168,18,1.320812e+03,68505
1641,13,21546,1.130540e-03,5.231337e-03,1.160983e-02,0.000000e+00,0.000000e+00,228,3.349141e-05,0,0,0,243,18,1.322412e+03,69092
1642,13,21559,1.114968e-03,5.171401e-03,1.190132e-02,0.000000e+00,0.000000e+00,222,1.372923e-04,0,0,0,100,18,1.324020e+03,68829
1643,12,21571,1.258871e-03,5.032568e-03,1.000000e-02,0.000000e+00,0.000000e+00,247,6.831950e-05,0,0,0,224,18,1.325632e+03,68998
1644,12,21583,1.180728e-03,5.202993e-03,1.025570e-02,0.000000e+00,0.000000e+00,230,3.340257e-05,0,0,0,168,18,1.327259e+03,69053
1645,14,21597,8.942767e-04,5.107637e-03,1.111802e-02,0.000000e+00,0.000000e+00,222,6.335547e-05,0,0,0,249,18,1.328877e+03,69134
1646,19,21616,9.660774e-04,5.110238e-03,1.278320e-02,0.000000e+00,0.000000e+00,217,6.846378e-05,0,0,0,73,18,1.330509e+03,69360
1647,16,21632,6.777570e-04,5.087129e-03,1.314904e-02,0.000000e+00,0.000000e+00,235,1.039836e-04,0,0,0,20,18,1.332101e+03,69415
1648,11,21643,1.181681e-03,5.125696e-03,1.197900e-02,0.000000e+00,0.000000e+00,229,2.508198e-04,0,0,0,171,18,1.333701e+03,69755
