boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
142,13,1655,8.890405e-05,5.357357e-03,1.088532e-02,0.000000e+00,0.000000e+00
143,17,1672,4.811212e-05,5.239399e-03,1.119030e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 127989, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,14,1686,1.052720e-04,5.209292e-03,1.159113e-02,0.000000e+00,0.000000e+00
145,21,1707,1.763925e-05,5.095511e-03,1.132523e-02,0.000000e+00,0.000000e+00
146,13,1720,3.543217e-05,5.179542e-03,1.243074e-02,0.000000e+00,0.000000e+00
147,16,1736,1.211418e-04,5.259855e-03,1.096449e-02,0.000000e+00,0.000000e+00
148,12,1748,3.410503e-05,5.403596e-03,1.370027e-02,0.000000e+00,0.000000e+00
149,16,1764,3.007241e-05,5.112294e-03,1.633888e-02,0.000000e+00,0.000000e+00
150,14,1778,7.916242e-05,5.134128e-03,1.219636e-02,0.000000e+00,0.000000e+00
151,30,1808,2.655201e-05,5.358601e-03,1.223934e-02,0.000000e+00,0.000000e+00
152,13,1821,1.360802e-04,5.369280e-03,1.231458e-02,0.000000e+00,0.000000e+00
153,14,1835,4.986161e-04,5.383143e-03,1.089000e-02,0.000000e+00,0.000000e+00
154,15,1850,1.378311e-04,5.533904e-03,1.558162e-02,0.000000e+00,0.000000e+00
155,15,1865,7.106923e-05,5.238966e-03,1.551220e-02,0.000000e+00,0.000000e+00
156,15,1880,1.096353e-04,5.376335e-03,1.252654e-02,0.000000e+00,0.000000e+00
157,15,1895,5.217269e-05,5.242843e-03,1.089000e-02,0.000000e+00,0.000000e+00
158,13,1908,2.495944e-06,5.289749e-03,1.357820e-02,0.000000e+00,0.000000e+00
159,12,1920,5.953945e-05,5.371938e-03,1.350230e-02,0.000000e+00,0.000000e+00
160,15,1935,7.543247e-05,5.379369e-03,1.456268e-02,0.000000e+00,0.000000e+00
161,15,1950,2.501532e-05,5.297398e-03,1.174434e-02,0.000000e+00,0.000000e+00
162,11,1961,3.460795e-05,5.334312e-03,1.244015e-02,0.000000e+00,0.000000e+00
163,15,1976,1.829909e-04,5.379656e-03,1.266883e-02,0.000000e+00,0.000000e+00
164,17,1993,1.160894e-05,5.495251e-03,1.234342e-02,0.000000e+00,0.000000e+00
165,15,2008,1.180870e-04,5.403235e-03,1.067641e-02,0.000000e+00,0.000000e+00
166,14,2022,1.245644e-05,5.480831e-03,1.437545e-02,0.000000e+00,0.000000e+00
167,13,2035,2.542557e-04,5.028130e-03,1.269806e-02,0.000000e+00,0.000000e+00
168,13,2048,5.731359e-05,5.445010e-03,1.385905e-02,0.000000e+00,0.000000e+00
169,15,2063,3.217254e-05,5.176306e-03,1.170851e-02,0.000000e+00,0.000000e+00
170,14,2077,1.076236e-04,5.415374e-03,1.089000e-02,0.000000e+00,0.000000e+00
171,13,2090,2.270937e-04,5.194904e-03,1.112355e-02,0.000000e+00,0.000000e+00
172,12,2102,2.300646e-04,5.293285e-03,1.103138e-02,0.000000e+00,0.000000e+00
173,13,2115,4.219823e-05,5.025547e-03,1.245943e-02,0.000000e+00,0.000000e+00
174,13,2128,1.513306e-04,5.437334e-03,1.375163e-02,0.000000e+00,0.000000e+00
175,13,2141,4.077889e-04,5.265879e-03,1.106403e-02,0.000000e+00,0.000000e+00
176,13,2154,2.121925e-04,5.464206e-03,1.298076e-02,0.000000e+00,0.000000e+00
177,12,2166,6.423797e-05,5.132532e-03,1.029187e-02,0.000000e+00,0.000000e+00
178,11,2177,3.430992e-05,5.565981e-03,1.783963e-02,0.000000e+00,0.000000e+00
179,11,2188,1.189997e-04,5.351740e-03,1.555014e-02,0.000000e+00,0.000000e+00
180,10,2198,6.435905e-05,5.418713e-03,1.240650e-02,0.000000e+00,0.000000e+00
181,15,2213,5.524140e-05,5.461070e-03,1.044210e-02,0.000000e+00,0.000000e+00
182,12,2225,2.421159e-04,5.495692e-03,1.321214e-02,0.000000e+00,0.000000e+00
183,14,2239,7.377006e-05,5.095222e-03,1.294489e-02,0.000000e+00,0.000000e+00
184,16,2255,1.410954e-06,5.314166e-03,1.191458e-02,0.000000e+00,0.000000e+00
185,14,2269,9.662006e-05,5.118076e-03,1.062936e-02,0.000000e+00,0.000000e+00
186,13,2282,2.210308e-04,5.470969e-03,1.264807e-02,0.000000e+00,0.000000e+00
